RespId,weight,age,Education,race,gender,income_cat,voter_category,Union Voting,Community Meetings,Stay Informed,Community Emblem,Community Events,Know Pledge & Rules,Support Worker Rights,Respect Dissent,Belief in God,Protest Injustice
470159,1.0308,57,College,White,Male,$125k or more,sporadic,Very important,Very important,Somewhat important,Not so important,Very important,Very important,Very important,Very important,Not so important,Not so important
470160,1.4106,41,College,White,Female,$125k or more,sporadic,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important
470162,0.7223,78,College,White,Female,Less than $40k,sporadic,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,,Not at all important
470163,0.8044,72,College,White,Male,$75-125k,rarely/never,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important
470164,1.1235,77,High school or less,White,Female,$75-125k,always,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important
470165,0.4076,46,College,Hispanic,Male,$75-125k,sporadic,Very important,Very important,Very important,Not at all important,Very important,Not so important,Somewhat important,Somewhat important,Not at all important,Not so important
470167,0.6926,73,College,White,Male,Less than $40k,always,Very important,Very important,Very important,Not so important,Very important,Somewhat important,Somewhat important,Not so important,Not at all important,Very important
470168,1.0783,60,High school or less,White,Male,$40-75k,sporadic,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important
470169,0.9456,89,Some college,White,Female,$40-75k,always,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Not at all important
480183,1.5371,29,Some college,Black,Male,Less than $40k,rarely/never,Very important,Somewhat important,Not so important,Not at all important,Somewhat important,Not at all important,Somewhat important,Very important,Not at all important,Somewhat important
470172,1.1653,64,Some college,White,Male,$125k or more,always,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important
470174,1.0457,63,Some college,White,Female,$75-125k,rarely/never,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Not at all important,Somewhat important
470175,1.2056,60,High school or less,Black,Female,Less than $40k,rarely/never,Very important,Not at all important,Not at all important,Not so important,Very important,Somewhat important,Very important,Somewhat important,Very important,Not at all important
470177,0.7554,26,College,White,Male,$75-125k,always,Very important,Not at all important,Very important,Somewhat important,Very important,Very important,Not at all important,Not so important,Very important,Not at all important
